;time;kerma
0;2204,143066;16636040,4
1;2236,261719;16635846,81
2;2268,380371;15697377
3;2300,499023;14929715
4;2332,617676;15100134,5
5;2364,736328;15697377
6;2400,869873;16038604
7;2437,003296;15953394,14
8;2469,121948;15867990,88
9;2501,240601;15782780,5
10;2533,359253;15782780,5
11;2565,477905;15782781
12;2597,59668;15697376,94
13;2633,730225;15867990
14;2669,863648;15782780,28
15;2701,9823;15782780,88
16;2734,100952;15782780,5
17;2766,219605;15697377,5
18;2798,338257;15697570,75
19;2830,456909;15697571,4
20;2870,605225;15782780,4
21;2902,723877;15782780,81
22;2934,842529;15782780,25
23;2966,961182;15697377
24;2999,079834;15782780,5
25;3031,198486;15782780,38
26;3067,332031;15782781
27;3103,465576;15782781,14
28;3135,584229;15697377,13
29;3167,702881;15782780,25
30;3199,821533;15697377
31;3231,940186;15697377
32;3264,058838;15697377,69
33;3300,192383;15697377
34;3336,325806;15782780,28
35;3368,444458;15697377,5
36;3400,56311;15697377,5
37;3432,681763;15782781
38;3464,800415;15782781
39;3496,919067;15697571,4
40;3537,067383;15782780,4
41;3569,186035;15697377,44
42;3601,30481;15697570,5
43;3633,423462;15782781
44;3665,542114;15782780,5
45;3697,660767;15697377
46;3733,79419;15782781
47;3769,927734;15782781,14
48;3802,046387;15782781,13
49;3834,165039;15782780,5
50;3866,283691;15867990,5
51;3898,402344;15782780,5
52;3930,520996;15953394,13
53;3966,654541;15953394
54;4002,787964;15953394,28
55;4034,906616;15953393,88
56;4067,025269;16038797
57;4099,143921;16124007
58;4131,262695;16635846,75
59;4163,381348;17062475,4
60;4203,529541;17318493,4
61;4235,648193;17488911,69
62;4267,766846;17489105,5
63;4299,885498;17659718,5
64;4332,00415;18000751,5
65;4364,122803;18427381,75
66;4400,256348;18512784
67;4436,389893;18683397,14
68;4468,508545;18768607,38
69;4500,627197;18854010,5
70;4532,74585;19110028
71;4564,864502;19109833,5
72;4596,983154;19195236,25
73;4633,116699;19280446
74;4669,250244;19536463,69
75;4701,368897;19451253,38
76;4733,487549;19536463,5
77;4765,606201;19536463
78;4797,724854;19451253,5
79;4829,843506;19451059,14
80;4865,977051;19365850
81;4902,110596;19451252,81
82;4934,229248;19365850,75
83;4966,3479;19280640,5
84;4998,466553;19280447
85;5030,585205;19195237,5
86;5066,71875;19195238
87;5102,852051;19110027,4
88;5134,970703;19024623,13
89;5167,0896;19024624,25
90;5199,208252;18939414
91;5231,326904;18512591
92;5263,445557;18512785,38
93;5299,579102;18512784
94;5335,712402;18427381,14
95;5367,831055;18427381,13
96;5399,949707;18342171
97;5432,068359;18256768
98;5464,187012;18171364
99;5496,305664;18000751,14
100;5532,438965;18000946
101;5568,57251;17830138,28
102;5600,691162;17830332,38
103;5632,809814;17744928,5
104;5664,928711;17659525,5
105;5697,047363;17232895,5
106;5733,180664;16977072
107;5765,299316;16721250
108;5801,432861;16806459,81
109;5833,551514;16721056,5
110;5865,670166;16806460
111;5897,788818;16721056,5
112;5929,907471;16550443
113;5966,041016;16635846
114;6002,174561;16635846,14
115;6034,293213;16550636,25
116;6066,411865;16380023,25
117;6098,530518;16294620
118;6130,64917;16038604
119;6162,767822;15867990,14
120;6198,901367;15867990
121;6235,034912;15867990,28
122;6267,153564;15697377,63
123;6299,272217;15697571,5
124;6331,390869;15612167
125;6363,509522;15611974,5
126;6399,643066;15612168
127;6435,776611;15441554,4
128;6467,895264;15270940,81
129;6500,013916;15100134,25
130;6532,132568;15185731,5
131;6564,251221;15185537,5
132;6596,369873;15014924,25
133;6632,503418;15014925
134;6668,636719;14929521,14
135;6700,755615;14844311,88
136;6732,874268;14844311,5
137;6764,99292;14759101,5
138;6797,111572;14759102
139;6829,230225;14673698,14
140;6865,36377;14673698
141;6901,49707;14588295,28
142;6933,615723;14588294,63
143;6965,734375;14417681,5
144;6997,853027;14503085,5
145;7029,97168;14503085,25
146;7066,104981;14417682
147;7102,238525;14332472,4
148;7134,357178;14332472,56
149;7166,47583;14247068,75
150;7198,594727;14247069
151;7230,713379;14247262,5
152;7262,832031;14247069,25
153;7298,965332;14161859
154;7335,098877;14247262,55
155;7367,217529;14332279
156;7399,336182;14161859,5
157;7431,454834;14247069
158;7463,573486;14247263
159;7495,692139;14161859,14
160;7535,840576;14161859,4
161;7567,959229;14161858,69
162;7600,077881;14161858,88
163;7632,196533;14247262,5
164;7664,315186;14247069
165;7696,433838;14161859,5
166;7732,567383;14332472
167;7768,700928;14332472,14
168;7800,81958;14417681,69
169;7832,938232;14332278,5
170;7865,056885;14247069
171;7897,175537;14332472
172;7929,294189;14417682,25
173;7965,427734;14332472
174;8001,561279;14417875,55
175;8033,679932;14502892,13
176;8065,798584;14588489,25
177;8097,917236;14588295,5
178;8130,035889;14758908,75
179;8162,154541;14673698,55
180;8202,302734;14844311,4
181;8234,421387;14758908,44
182;8266,540039;14844311,38
183;8298,658691;14929714,5
184;8330,777344;15015118,5
185;8362,895996;15100327,75
186;8399,029297;15185538
187;8435,163086;15270941,14
188;8467,281738;15441360,88
189;8499,400391;15526764,25
190;8531,519043;15612167,5
191;8563,637695;15697377
192;8595,756348;15697377
193;8631,889648;15782781
194;8668,023438;15953394,28
195;8700,14209;16124006,63
196;8732,260742;16209410
197;8764,379395;16124007,5
198;8796,498047;16294620,25
199;8828,616699;16380023,55
200;8868,765137;16465233,4
201;8900,883789;16550636,81
202;8933,002441;16635846,75
203;8965,121094;16891863
204;8997,239746;16977072,5
205;9029,358398;16977073
206;9065,492188;17062476
207;9101,625;17147879,4
208;9133,744141;17147685,69
209;9165,862305;17233089,25
210;9197,981445;17233089
211;9230,099609;17403508,5
212;9262,21875;17403702,5
213;9298,352539;17574316
214;9334,485352;17574314,55
215;9366,604492;17659525,5
216;9398,722656;17744929
217;9430,841797;17915542
218;9462,959961;18086155,5
219;9495,079102;18000752,28
220;9531,211914;18086154
221;9567,345703;18171365,44
222;9599,464356;18341977,5
223;9631,583008;18341977,5
224;9663,70166;18342172
225;9695,820313;18427574,5
226;9731,954102;18683398
227;9768,087402;18683397,4
228;9800,206055;18768607,13
229;9832,324707;18768607,75
230;9864,443359;18854010,5
231;9896,562012;19024624,5
232;9928,680664;19365849,63
233;9964,814453;19365850
234;10000,94775;19365850,55
235;10033,06641;19365849,63
236;10065,18506;19451254
237;10097,30371;19451060
238;10129,42236;19451253,5
239;10161,54102;19365849,69
240;10197,6748;19280446
241;10233,80811;19365849,69
242;10265,92676;19195236,25
243;10298,04541;19195237
244;10330,16406;18768801,5
245;10362,28271;18342171,25
246;10398,41602;18171558
247;10434,5498;17915541,4
248;10466,66846;17659524,56
249;10498,78711;17403702
250;10530,90576;16806460
251;10563,02441;16550443
252;10595,14307;16465232,88
253;10631,27637;16550637
254;10667,41016;16380023,4
255;10699,52832;16380023,13
256;10731,64746;16379829,75
257;10763,76563;16294620
258;10795,88477;16380023,5
259;10828,00342;16209216,28
260;10864,13672;16209217
261;10900,27051;16038797,55
262;10932,38867;16038796,88
263;10964,50781;16124007
264;10996,62598;16038603
265;11028,74512;15867990,75
266;11064,87793;15867990
267;11101,01172;15953393,4
268;11133,13037;15868183,81
269;11165,24902;15782780,75
270;11197,36768;15782780,5
271;11229,48633;15697377,5
272;11261,60498;15782780,5
273;11297,73828;15782781
274;11333,87207;15697377,14
275;11365,99072;15697376,88
276;11398,10938;15782780,75
277;11430,22803;15697571
278;11462,34668;15697377,5
279;11494,46533;15782780,69
280;11530,59863;15612168
281;11566,73242;15612167,28
282;11598,85107;15612167,13
283;11630,96973;15612168
284;11663,08838;15611974
285;11695,20703;15611973,75
286;11731,34082;15612168
287;11767,47412;15526957,4
288;11799,59277;15611973,56
289;11831,71143;15612167,75
290;11863,83008;15526958
291;11895,94873;15526764,5
292;11928,06738;15612167,88
293;11964,20117;15526764
294;12000,33447;15441554,14
295;12032,45313;15526764,25
296;12064,57178;15526764
297;12096,69043;15526957,5
298;12128,80908;15526764
299;12160,92773;15526957,69
300;12197,06152;15441554
